name,category,specs,price,unit,recipe,,
红豆布丁抹茶,口感奶茶,热,15,杯,鸡蛋布丁:20;红豆沙:20;抹茶液:90;雀巢全脂牛奶:180;淡奶油:20;果糖:15;热水:20;16A中空杯:1;500杯盖:1;吸管:1,,
青蛙撞奶,口感奶茶,,14,杯,黑糖珍珠:180;雀巢全脂牛奶:200;冰块:80;U型杯:1;U型杯盖:1;吸管:1,,
鲜金桔柚子茶,鲜果茶,,13,杯,桔子:2;柚子茶:20;金桔汁:40;热水:200;冰块:300;700杯:1;500杯盖:1;吸管:1,,
蜜桃火龙果,鲜果茶,果茶版,14,杯,火龙果:150;水蜜桃汁:40;冰块:150;果糖:40;翡翠茉莉绿茶:250;700杯:1;500杯盖:1;吸管:1,,
蜜桃火龙果,鲜果茶,芝士版,15,杯,火龙果:120;水蜜桃汁:30;冰块:150;果糖:35;翡翠茉莉绿茶:200;芝士奶盖:50;700杯:1;500杯盖:1;吸管:1,,
翡翠葡萄柚,鲜果茶,,15,杯,冰块:200;台湾四季春:150;果糖:25;红西柚汁:30;热水:100;700杯:1;500杯盖:1;吸管:1,,
翡翠青柠檬,鲜果茶,,13,杯,柠檬:1;冰块:250;翡翠茉莉绿茶:200;果糖:45;黄金砂糖糖浆:20;700杯:1;500杯盖:1;吸管:1,,
黄金百香果,鲜果茶,,15,杯,黄金百香果:60;桔子:1;甜橙茶酱:10;冰块:150;翡翠茉莉绿茶:400;果糖:60;700杯:1;500杯盖:1;吸管:1,,
玫瑰奶提,暖心热饮,,16,杯,玫瑰花酱:40;雀巢全脂牛奶:380;16A中空杯:1;500杯盖:1;吸管:1,,
抹茶拿铁,暖心热饮,,16,杯,抹茶液:90;雀巢全脂牛奶:300;果糖:10;淡奶油:20;16A中空杯:1;500杯盖:1;吸管:1,,
玫瑰密友,暖心热饮,,16,杯,玫瑰花酱:30;柚子茶:10;黄金百香果:20;热水:350;柠檬:1;16A中空杯:1;500杯盖:1;吸管:1,,
扑克,其他,,2,包,扑克:1,,
香辣鸡翅,小吃,,9,份,鸡翅:1;浓香辣腌料:13;热水:200;炸鸡裹粉:200;牛皮纸杯:1,,
奥尔良鸡翅,小吃,,9,份,鸡翅:1;奥尔良腌料:18;炸鸡裹粉:50;黄面包糠:200;热水:95;牛皮纸杯:1,,
薯条,小吃,,9,份,薯条:200;番茄酱:20;牛皮纸杯:1,,
泡椒凤爪,小吃,,12,份,鸡爪:6;牛皮纸杯:1,,
红韵鲜奶雪顶,雪顶鲜奶,冰,13,杯,热水:50;甜蜜植脂末:35;果糖:40;白鹭红茶:350;芝士奶盖:57;700杯:1;500杯盖:1;吸管:1,,
红韵鲜奶雪顶,雪顶鲜奶,热,12,杯,热水:30;甜蜜植脂末:30;果糖:25;白鹭红茶:250;芝士奶盖:57;16A中空杯:1;500杯盖:1;吸管:1,,
茉玉鲜奶雪顶,雪顶鲜奶,冰,13,杯,果糖:50;翡翠茉莉绿茶:350;甜蜜植脂末:35;热水:50;芝士奶盖:57;700杯:1;500杯盖:1;吸管:1,,
茉玉鲜奶雪顶,雪顶鲜奶,热,12,杯,热水:30;甜蜜植脂末:30;果糖:30;翡翠茉莉绿茶:250;芝士奶盖:57;16A中空杯:1;500杯盖:1;吸管:1,,
四季鲜奶雪顶,雪顶鲜奶,冰,13,杯,热水:50;甜蜜植脂末:35;果糖:50;台湾四季春:350;芝士奶盖:57;700杯:1;500杯盖:1;吸管:1,,
四季鲜奶雪顶,雪顶鲜奶,热,12,杯,热水:30;甜蜜植脂末:30;果糖:30;台湾四季春:250;芝士奶盖:57;16A中空杯:1;500杯盖:1;吸管:1,,
沏香鲜奶雪顶,雪顶鲜奶,冰,13,杯,热水:50;甜蜜植脂末:35;果糖:40;炭烤奶茶:350;芝士奶盖:57;700杯:1;500杯盖:1;吸管:1,,
沏香鲜奶雪顶,雪顶鲜奶,热,12,杯,热水:30;甜蜜植脂末:30;果糖:25;炭烤奶茶:250;芝士奶盖:57;16A中空杯:1;500杯盖:1;吸管:1,,
